"protein_group","abundance_A_1","abundance_A_1.x","abundance_A_1.y","abundance_B_1","abundance_B_1.x","abundance_B_1.y","number_of_peptides_A_1","number_of_peptides_A_1.x","number_of_peptides_A_1.y","number_of_peptides_B_1","number_of_peptides_B_1.x","number_of_peptides_B_1.y","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Biognosys|iRT-Kit_WR_fusion",-15.9826626636,-16.0196283524,-15.9515846412,-16.0566979152,-15.8180061154,-15.8350442455,63,56,59,68,63,57,0.755061919953596,0.907899397803755,-0.0813757936999995
"sp|O14579|COPE_HUMAN",-19.3363899941,-19.7820277556,-19.3869821972,-19.3518872832,-19.2622729964,-20.1972392752,13,8,10,15,13,10,0.761750725058005,0.909250791417517,0.101999869300002
"sp|O14602|IF1AY_HUMAN",-20.9344904966,NA,NA,-20.4671873612,NA,NA,4,2,2,5,3,4,NA,NA,NA
"sp|O14617|AP3D1_HUMAN",-23.216837297,-23.026351128,-25.2678616596,-22.8493710557,-22.3684710101,-23.4960682103,10,8,4,10,10,11,0.110156757540603,0.40620957309185,-0.932379936166669
"sp|O14618|CCS_HUMAN",NA,NA,-22.6159934999,-23.0373463232,-22.7942638399,NA,1,NA,3,1,1,1,NA,NA,NA
"sp|O14646|CHD1_HUMAN",-22.9848417661,-23.355296202,-23.596123994,-23.2081483843,-23.1839345084,-23.6370991778,9,11,9,11,10,10,0.905777117169374,0.957230769230769,0.0309733694666647
"sp|O14737|PDCD5_HUMAN",-19.6855046053,-18.7619194808,-19.4619894122,-19.9548474824,-18.9302665482,-19.5931188034,6,8,8,4,7,6,0.61238283062645,0.858573216520651,0.189606445233334
"sp|O14744|ANM5_HUMAN",-20.1417001847,-20.9078092761,-20.3741781523,-20.3944905008,-21.1603863484,-20.516193598,22,15,17,18,14,21,0.543891096287703,0.835084513476473,0.215794278033336
"sp|O14745|NHRF1_HUMAN",-20.9151968719,-21.955392105,-20.6716040005,-20.616153426,-20.8669789534,-20.8769875175,9,5,8,11,5,7,0.324883990719258,0.67420814479638,-0.394024360166668
"sp|O14757|CHK1_HUMAN",NA,-22.7266285868,-23.6423892175,NA,-22.5208900933,-23.7913743814,3,2,2,1,4,1,0.936825406032483,0.966966966966967,-0.0283766647999997
"sp|O14773|TPP1_HUMAN",-24.0098994574,-21.5980988303,-21.3692335763,-23.8026071886,-21.6235489483,-21.9625366931,4,5,6,5,6,5,0.807313225058005,0.932391523713421,0.137153655333332
"sp|O14776|TCRG1_HUMAN",-21.9599617663,-21.8446381278,-21.0291918498,-21.9774384671,-21.1998106492,-21.399469922,21,21,20,21,19,20,0.80443590487239,0.931818181818182,-0.0856909018666663
"sp|O14777|NDC80_HUMAN",NA,-23.9809286486,NA,NA,NA,NA,10,7,6,8,10,8,NA,NA,NA
"sp|O14787|TNPO2_HUMAN",-23.6247312832,-22.7189271879,-23.0678851405,-22.7101419883,-22.4650534572,-22.4489318395,6,5,6,6,8,8,0.12430785962877,0.435308343409915,-0.595805442200003
"sp|O14802|RPC1_HUMAN",-24.6131204928,-25.0096810608,-23.6957806772,-24.3038748899,-25.1922523632,-23.8055313039,5,9,9,12,12,8,0.972005220417633,0.976642335766423,-0.00564122459999794
"sp|O14818|PSA7_HUMAN",-20.0513146509,-19.821043085,-20.0397434998,-20.1887270378,-19.8040068832,-19.7332123408,17,18,19,16,20,19,0.823280162412993,0.935505319148936,-0.0620516579666663
"sp|O14828|SCAM3_HUMAN",-20.7257059131,-20.6341569341,-20.2570417031,-21.3247383111,-20.6921503103,-20.265429795,5,6,6,4,5,7,0.537697215777262,0.831258644536653,0.221804622033332
"sp|O14841|OPLA_HUMAN",-22.7665249087,-24.2131244631,-23.2108285406,-22.3989001218,-22.7341365006,-23.7082231786,7,5,7,7,5,5,0.329005220417633,0.679717586649551,-0.44973937046667
"sp|O14880|MGST3_HUMAN",-22.2248992993,-20.0887056975,-20.400741615,-20.0379732023,-19.8863448931,-20.0672972453,2,3,3,3,3,3,0.0951493619489559,0.374468085106383,-0.907577090366665
"sp|O14893|GEMI2_HUMAN",-22.6857706802,NA,NA,-21.8976475451,-22.60812913,-22.5762521517,3,1,NA,3,2,2,NA,NA,NA
"sp|O14908|GIPC1_HUMAN",NA,NA,NA,-23.4365034535,NA,NA,1,NA,1,2,1,3,NA,NA,NA
"sp|O14925|TIM23_HUMAN",-20.9666897348,-21.7712798999,-20.7741797874,NA,-20.4081265783,-21.8816170067,2,2,3,2,5,1,0.937751160092807,0.967296729672967,-0.0258446815333357
"sp|O14929|HAT1_HUMAN",-20.5390609598,-20.3497550786,-20.4304433544,-20.1390834966,-20.0641868161,-19.8927802077,10,11,8,10,11,13,0.186676914153132,0.523020257826888,-0.407736290799999
"sp|O14950|ML12B_HUMAN",-20.374574163,-20.4460645462,-20.5773933182,-20.192347172,-20.2236070742,-20.2517403417,15,11,10,18,14,19,0.382710266821346,0.725674091441969,-0.243445813166666
"sp|O14964|HGS_HUMAN",-22.2845884774,-22.4752012936,-22.4133179488,-22.5796574702,-22.5053871627,-22.0116090705,7,9,8,8,6,7,0.916234483758701,0.96004879536444,-0.0254846721333308
"sp|O14965|AURKA_HUMAN",NA,-21.634114423,NA,-22.4511202803,-21.0254881832,NA,1,5,5,2,7,5,NA,NA,NA
"sp|O14972|VP26C_HUMAN",-23.514429824,NA,NA,-23.9068833113,NA,NA,1,NA,2,1,1,2,NA,NA,NA
"sp|O14974|MYPT1_HUMAN",-24.1911406759,NA,-23.3169581962,-24.3155697613,-22.6178609662,-24.1234099101,9,7,11,7,11,7,0.875454901392111,0.949889694295619,-0.0684358901833377
"sp|O14976|GAK_HUMAN",-25.0825846666,NA,NA,-23.0718750648,NA,-25.3901906644,3,1,3,7,2,2,NA,NA,NA
"sp|O14979|HNRDL_HUMAN",-20.1424943786,-20.30039659,-20.0733777062,-20.1693537095,-20.2115595866,-20.1157630175,33,26,29,28,24,27,0.96209846287703,0.973235294117647,-0.00653078706666577
"sp|O14980|XPO1_HUMAN",-19.830446755,-19.919509668,-19.8990512575,-19.5375092307,-19.6913807767,-19.6981455595,62,44,48,66,53,62,0.386550319025522,0.73220536756126,-0.240657371200001
"sp|O15014|ZN609_HUMAN",NA,NA,NA,-24.4585471153,-25.3221864619,NA,2,2,NA,3,4,1,NA,NA,NA
"sp|O15027|SC16A_HUMAN",-25.308895828,-24.0565815303,-24.614327779,NA,-23.8621433545,-25.5497738421,9,12,8,10,13,13,0.909362093967517,0.959252450980392,0.0460235525333346
"sp|O15042|SR140_HUMAN",-21.1030594031,-21.2544526441,-21.2519320481,-21.0940536425,-20.9874632178,-20.8868671809,15,17,12,15,14,15,0.443707511600928,0.76943140323422,-0.213686684700001
"sp|O15067|PUR4_HUMAN",-20.331073154,-20.8818246891,-20.542384236,-20.314237998,-20.6165569322,-20.4329114021,31,24,29,35,27,29,0.664344112529002,0.876509544215037,-0.130525248933331
"sp|O15084|ANR28_HUMAN",NA,-22.6566654952,-22.6812349946,-24.717023608,-22.95581306,-22.3598716033,NA,7,4,7,5,6,0.250883120649652,0.596786534047437,0.675285845533335
"sp|O15091|MRPP3_HUMAN",NA,NA,NA,-25.0101738784,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"sp|O15116|LSM1_HUMAN",-19.8711474794,-19.4853949426,-20.2311391635,-19.9450051288,-19.3701927059,-19.447701283,5,6,3,6,5,4,0.429762035962877,0.760064412238325,-0.27492748926667
"sp|O15126|SCAM1_HUMAN",NA,NA,NA,NA,-23.7076645557,NA,NA,5,1,NA,3,NA,NA,NA,NA
"sp|O15127|SCAM2_HUMAN",-22.6731355519,NA,NA,-22.8529718916,-22.4527102053,-22.27468623,1,2,2,2,2,2,NA,NA,NA
"sp|O15143|ARC1B_HUMAN",-20.7250003358,-22.9037824192,-21.2014979519,-20.4480782432,-22.6079318159,-21.3480797529,8,3,9,8,8,9,0.782136020881671,0.921507607192254,-0.142063631633331
"sp|O15144|ARPC2_HUMAN",-22.6267426831,NA,NA,-23.8251589878,-23.3496941255,NA,4,3,5,4,5,1,NA,NA,NA
"sp|O15160|RPAC1_HUMAN",-20.9801713026,-21.4316991994,-20.8939034732,-21.3266374747,-20.779012678,-20.2108500397,6,5,5,6,6,8,0.386910092807425,0.73220536756126,-0.329757927600003
"sp|O15164|TIF1A_HUMAN",-23.7298226337,-23.3811715413,-22.6108683818,-22.9533900484,-22.9030328324,-23.2081702574,5,6,6,11,6,5,0.543484048723898,0.835084513476473,-0.2190898062
"sp|O15182|CETN3_HUMAN",-22.5749899721,-22.5381108539,NA,-22.798151761,-22.5645017059,NA,2,1,1,2,3,4,0.656298723897912,0.87519747235387,0.12477632045
"sp|O15212|PFD6_HUMAN",-20.6899562763,-21.0075311953,-20.738406714,-20.1187316877,-19.7810104852,-20.4486783313,5,7,4,4,6,4,0.0670590197215777,0.315608919382504,-0.695824560466669
"sp|O15213|WDR46_HUMAN",-23.0502328555,-23.0873005171,NA,-24.0438547688,-23.7954080759,-23.6834612662,2,3,1,1,3,2,0.0370810614849188,0.225563909774436,0.772141350666665
"sp|O15226|NKRF_HUMAN",-21.8392851335,-22.9099764281,-21.7019792894,-22.3399804131,-22.4485784091,-22.1946721135,14,13,18,18,14,11,0.629652697215777,0.868959868959869,0.177330028233335
"sp|O15228|GNPAT_HUMAN",-23.6481432021,NA,NA,NA,-24.501391604,NA,2,1,NA,NA,2,5,NA,NA,NA
"sp|O15234|CASC3_HUMAN",NA,-23.5091966896,NA,-22.9591498412,-24.7633801401,-22.6296413924,NA,2,1,3,2,4,NA,NA,NA
"sp|O15235|RT12_HUMAN",-22.0131459589,-21.5915008697,NA,-20.7526463085,-20.9892106138,NA,2,2,2,4,2,2,0.0283706496519722,0.19533527696793,-0.931394953149997
"sp|O15247|CLIC2_HUMAN",-20.1581912504,-19.9907750129,-20.4897539483,-20.1695199419,-20.3263211827,-20.2541071821,7,7,6,7,7,6,0.885222302784223,0.953262233375157,0.0370760316999998
"sp|O15258|RER1_HUMAN",-22.1941953972,-22.2933782286,-22.0102901589,-21.9441124969,-21.8542230359,-22.0736486809,1,1,1,1,1,1,0.466522331786543,0.787126203750634,-0.208626523666666
"sp|O15269|SPTC1_HUMAN",-22.7056827304,-23.9145146599,-23.6194811623,-22.7071099312,-22.0510196433,-23.4979105725,4,4,4,4,4,3,0.16839689675174,0.484344422700587,-0.661212801866665
"sp|O15270|SPTC2_HUMAN",-22.8979430755,-23.0596466208,-22.8133819934,-22.7888203778,-22.1347691993,-22.8905455032,3,4,2,3,5,4,0.354527407192575,0.700980392156863,-0.318945536466664
"sp|O15294|OGT1_HUMAN",-21.6526201432,-22.0720849003,-22.0491621552,-21.9414884625,-22.3577336295,-22.3332296952,17,15,16,14,11,15,0.376715197215777,0.71978672985782,0.286194862833334
"sp|O15305|PMM2_HUMAN",-22.784912637,-22.6770671245,-22.673678841,-22.9725667357,-22.8154969126,NA,1,2,2,2,2,NA,0.508801189095128,0.816531294792164,0.182145623316664
"sp|O15318|RPC7_HUMAN",-22.4066074909,NA,-22.4656676478,-22.6141280609,-22.057855521,-22.3442501585,1,1,1,1,1,1,0.747354263341067,0.905067808708066,-0.0973929892166687
"sp|O15347|HMGB3_HUMAN",-20.293943828,-21.1304779235,-20.5693478429,-20.1273743594,-20.5088550083,-20.5739332013,4,4,7,5,5,4,0.451175174013921,0.772633744855967,-0.261202341800001
"sp|O15355|PPM1G_HUMAN",-20.3876685653,-20.1893454094,-20.0416625871,-20.3725232636,-20.4712036622,-20.4358324058,15,14,18,20,14,17,0.444004205336427,0.76943140323422,0.220294256599999
"sp|O15357|SHIP2_HUMAN",NA,NA,-25.7270621423,NA,NA,NA,NA,NA,2,3,1,1,NA,NA,NA
"sp|O15371|EIF3D_HUMAN",-20.3265340607,-20.2938802145,-20.3452097399,-19.9889856775,-19.8426216501,-19.9007616292,14,16,15,19,21,17,0.163697215777262,0.474626865671642,-0.41108501943333
"sp|O15372|EIF3H_HUMAN",-20.8476087916,-22.5273489955,-20.7950368674,-20.3684464912,-19.9589746326,-19.8287513324,11,12,15,16,17,15,0.0228238109048724,0.166112956810631,-1.33794073276667
"sp|O15379|HDAC3_HUMAN",NA,NA,NA,NA,NA,-23.5524228073,NA,NA,NA,NA,1,1,NA,NA,NA
"sp|O15381|NVL_HUMAN",-22.1145161967,-22.2363235013,-23.5513761665,-21.9179547605,-22.8873678554,-22.6515599556,13,9,6,12,8,11,0.717552349187935,0.899815837937385,-0.148444430999998
"sp|O15382|BCAT2_HUMAN",-21.7645462092,-21.3520610486,-23.1142578989,-21.6540953916,-23.0621083659,-21.8330914151,5,7,3,7,4,3,0.810821780742459,0.932391523713421,0.106143338633331
"sp|O15392|BIRC5_HUMAN",-22.1577314155,-21.74927334,NA,-20.9467770797,-21.4683606148,NA,4,2,2,4,3,1,0.0757372389791183,0.335483870967742,-0.745933530499997
"sp|O15397|IPO8_HUMAN",-23.7435972743,-22.4932703435,-22.431948711,-23.3260732132,-23.6108174707,-22.8364083497,5,7,6,7,6,9,0.383119779582367,0.725674091441969,0.3681609016
"sp|O15400|STX7_HUMAN",-21.5743148769,-21.3015008479,-20.9107823681,-21.4486225992,-20.8209982317,-22.1301116319,6,3,6,3,5,2,0.592140371229698,0.851455479452055,0.204378123299996
"sp|O15446|RPA34_HUMAN",NA,-22.6527385948,-22.1805051129,-21.8307825972,-22.6916459806,-22.6174261709,2,4,3,4,4,5,0.904791038283063,0.957230769230769,-0.0366702709500011
"sp|O15479|MAGB2_HUMAN",-21.920118265,-22.3848495632,-22.2680186724,-21.8531659007,NA,-22.2669969664,6,10,9,10,7,6,0.679835846867749,0.88553987027852,-0.13091406665
"sp|O15498|YKT6_HUMAN",-21.128947685,-21.3436905593,NA,-21.2024377366,-20.9197083346,-21.0332355889,7,4,5,3,5,5,0.528708091647332,0.830641439778496,-0.18452523545
"sp|O15504|NUP42_HUMAN",NA,NA,NA,NA,-23.7127367601,NA,1,2,3,1,2,1,NA,NA,NA
"sp|O15511|ARPC5_HUMAN",NA,NA,NA,NA,-21.2403825982,NA,1,3,1,1,3,4,NA,NA,NA
"sp|O15514|RPB4_HUMAN",-20.6176942014,-20.5646686297,-20.4140771523,-20.6110008878,-21.4480729119,-20.5083541016,2,2,3,3,2,3,0.371849767981439,0.716071428571429,0.3236626393
"sp|O15541|R113A_HUMAN",-23.4506194441,NA,-23.2914003728,-23.3940115583,-23.2206752245,-23.1340145644,2,1,2,2,2,2,0.663591357308585,0.876509544215037,-0.121442792716664
"sp|O15550|KDM6A_HUMAN",NA,-26.0006607636,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA
"sp|O43137|YB085_YEAST",NA,-19.7967473486,-19.9896226109,-21.0786095214,NA,-19.9440399873,5,3,3,3,NA,2,0.1989686774942,0.540588760035682,0.618139774599999
"sp|O43143|DHX15_HUMAN",-21.1622909714,-21.0359138679,-21.7697227832,-20.6280779184,-20.2689521638,-20.9800348583,37,26,26,33,35,30,0.0871769141531323,0.358936484490399,-0.696954227333332
"sp|O43148|MCES_HUMAN",-21.1860171447,-24.0676666365,-21.4500450622,-21.6563943819,-22.1396649178,-21.8766558569,10,6,7,10,11,9,0.534626740139211,0.830641439778496,-0.343671228933331
"sp|O43156|TTI1_HUMAN",-23.7535221273,-24.2915228918,-24.4746324922,-23.1360687187,-23.5477302719,-23.7582295767,6,2,4,6,6,4,0.0830105858468678,0.351766513056836,-0.692549648
"sp|O43159|RRP8_HUMAN",-21.765191094,-21.8918781163,-21.4493856419,-21.4118993441,-22.5060314447,-22.1486402035,7,9,6,9,8,7,0.393993329466357,0.740932642487047,0.320038713366667
"sp|O43164|PJA2_HUMAN",NA,NA,NA,-24.9849423446,NA,NA,1,1,NA,1,1,1,NA,NA,NA
"sp|O43169|CYB5B_HUMAN",-22.1262668374,-21.8228591899,-21.8930246823,-21.1301031527,-22.0353654905,NA,1,1,1,2,1,1,0.340164298143852,0.691682301438399,-0.364649248266666
"sp|O43172|PRP4_HUMAN",-21.1123752151,-20.535307677,-20.8492639329,-20.5716920277,-20.3732693616,-20.652556245,14,15,12,15,15,15,0.354172273781903,0.700980392156863,-0.299809730233331
"sp|O43175|SERA_HUMAN",-20.7302185616,-19.7283785987,-19.498630475,-19.6820329617,-19.6790748047,-20.1383776326,20,23,23,30,24,20,0.681237674013921,0.88553987027852,-0.152580745433333
"sp|O43181|NDUS4_HUMAN",-21.8443547787,-22.1320704028,-21.7244135874,-21.9983668869,-21.6985081209,-21.3822143493,2,3,2,2,4,3,0.51839211136891,0.823501651722511,-0.207249803933333
"sp|O43182|RHG06_HUMAN",NA,NA,NA,NA,-25.3971006384,NA,NA,NA,1,1,3,NA,NA,NA,NA
"sp|O43237|DC1L2_HUMAN",NA,NA,NA,-24.2129175271,NA,NA,2,2,3,1,3,3,NA,NA,NA
"sp|O43242|PSMD3_HUMAN",-20.1155398717,-19.8369653562,-20.1291051044,-19.8564465138,-19.8651350567,-19.8112911158,22,24,20,25,24,28,0.516593242459397,0.819299905392621,-0.182912548666664
"sp|O43252|PAPS1_HUMAN",-24.2804325986,-21.8248952722,-22.6178566735,-24.1655535424,-24.2590860217,-22.9561201548,5,8,6,4,6,7,0.135322070765661,0.443946188340807,0.885858391533333
"sp|O43264|ZW10_HUMAN",-21.870409008,-23.2723985491,-22.1162177766,-21.7623223991,-22.0941594821,-21.5565225566,12,5,13,16,8,9,0.167495794663573,0.483267716535433,-0.615340298633331
"sp|O43290|SNUT1_HUMAN",-21.1439332332,-21.2179769293,-20.7312458639,-20.9153841074,-20.5298099156,-21.2692615888,15,16,23,22,19,16,0.695882975638051,0.895115486558122,-0.126233471533332
"sp|O43314|VIP2_HUMAN",-25.1783869941,-24.3278590755,-25.2732167221,-23.896772788,NA,-25.4404123954,4,4,6,7,2,5,0.582727088167053,0.850668968493742,-0.257895005533335
"sp|O43318|M3K7_HUMAN",-24.1341395975,-24.5591679198,-23.4409787517,-23.2445630551,-22.5385094503,-24.2375213995,2,2,2,2,4,4,0.156168068445476,0.465781409601634,-0.704564121366666
"sp|O43324|MCA3_HUMAN",-20.0114382957,-19.8175018896,-20.5629045881,-21.0256326767,-20.8290175457,-21.2286130202,8,7,5,7,5,8,0.0333338167053364,0.211081794195251,0.897139489733334
"sp|O43379|WDR62_HUMAN",NA,NA,NA,NA,NA,-25.4869821128,NA,NA,1,NA,NA,2,NA,NA,NA
"sp|O43390|HNRPR_HUMAN",-19.0061922602,-19.1666536621,-19.2285029321,-18.984498876,-18.6811776826,-18.888923787,54,47,52,55,52,59,0.343330481438515,0.693941286695815,-0.282249502933333
"sp|O43395|PRPF3_HUMAN",-21.7166945823,-21.3131161979,-22.2008265572,-21.6309947389,-21.4019175798,-21.0988457846,9,10,6,12,11,11,0.315552204176334,0.670811518324607,-0.366293078033333
"sp|O43396|TXNL1_HUMAN",-19.5596481533,-19.9485387813,-19.5226996814,-19.2955693443,-19.6130007031,-19.273760591,14,9,12,14,11,16,0.374175754060325,0.716577540106952,-0.282851992533335
"sp|O43399|TPD54_HUMAN",-19.369569031,-20.2995572281,-19.4096651084,-19.3366785753,-19.6580552862,-18.829913492,9,8,11,14,12,12,0.293581496519722,0.646249139710943,-0.418048004666669
"sp|O43402|EMC8_HUMAN",-22.1874784946,-21.2450444587,-20.541356139,NA,-21.8937225365,-21.1196431365,5,3,5,6,2,4,0.689640806264501,0.889311525294789,0.182056472399996
"sp|O43447|PPIH_HUMAN",-20.0623498416,-19.3124181019,-19.2253049439,-19.7163437617,-19.1674592145,-19.1092708557,11,12,11,12,16,15,0.567212151972158,0.842756183745583,-0.202333018500003
"sp|O43464|HTRA2_HUMAN",NA,-23.5496657391,NA,NA,NA,-23.5552959688,NA,2,NA,3,2,3,NA,NA,NA
"sp|O43482|MS18B_HUMAN",-21.5785636528,-22.2633320842,-21.5492230187,-21.69313175,-20.6418511986,NA,2,3,2,2,3,1,0.169232163573086,0.485380116959064,-0.629548110933335
"sp|O43488|ARK72_HUMAN",-21.2121220946,-22.0865780097,-21.7882422327,-20.9684075039,-21.6458816754,-20.7698665386,4,7,7,7,8,6,0.1686561774942,0.484375,-0.567595539700001
"sp|O43491|E41L2_HUMAN",-22.1810277812,-22.3700822115,-21.7695848828,-21.8461341226,-21.892958682,-21.8221148098,11,9,11,12,8,9,0.422054959396752,0.752717391304348,-0.253162420366671
"sp|O43493|TGON2_HUMAN",-23.0842821777,-24.314830698,-22.8249706072,-23.0868309853,NA,-22.8543682447,3,2,3,5,3,3,0.347043068445476,0.696218226906386,-0.437428212633332
"sp|O43504|LTOR5_HUMAN",-18.7259666098,-19.0960816026,-18.3440069049,-18.3286967529,-18.8373738814,-19.0775525778,5,3,5,7,5,3,0.923106003480278,0.962086745526236,0.0258560316000001
"sp|O43583|DENR_HUMAN",-19.9230499182,-19.094402796,-19.7779697649,-19.7652283914,-19.2136953757,-19.3157455159,6,7,6,8,7,6,0.624418068445476,0.865843621399177,-0.166917732033333
"sp|O43592|XPOT_HUMAN",-22.1349367093,-22.1459706369,-21.5688695815,-22.3862974046,-21.2333353732,-22.1544895891,16,13,17,13,19,16,0.928756525522042,0.964004839685421,-0.0252181869333334
"sp|O43598|DNPH1_HUMAN",-19.8468828119,-20.2836308676,-20.6163948555,-20.2880672608,-20.5119320437,-19.7153269496,4,3,2,3,2,3,0.815804379350348,0.934782608695652,-0.0771940936333309
"sp|O43615|TIM44_HUMAN",-20.9161003277,-20.28461823,-20.2982808691,-20.3037099348,-20.1669131879,-19.7343280436,16,14,13,17,16,20,0.236652552204176,0.578611332801277,-0.431349420166669
"sp|O43617|TPPC3_HUMAN",-22.4663556788,NA,NA,NA,NA,NA,6,5,5,5,5,6,NA,NA,NA
"sp|O43633|CHM2A_HUMAN",-22.0204524032,-21.8221482226,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"sp|O43660|PLRG1_HUMAN",-21.342872378,-21.0680057623,-20.7963798998,-20.7380342429,-20.4706014223,-21.0704323456,14,8,12,14,12,10,0.362883845707657,0.708232445520581,-0.309396676433334
"sp|O43663|PRC1_HUMAN",-23.4528145355,-23.290786964,-24.0800209883,-23.0087083702,-22.3703453159,-24.2472915894,3,4,4,5,5,4,0.387484628770302,0.732558139534884,-0.399092404099999
"sp|O43665|RGS10_HUMAN",-20.5015660556,-21.2727640128,-21.6343622007,-20.3335252979,-23.0109753112,-21.753824879,6,4,3,6,4,3,0.308154582366589,0.665993265993266,0.563211072999998
"sp|O43670|ZN207_HUMAN",-23.2738851115,-22.9913215729,NA,-22.282370179,NA,-22.9308502861,3,2,2,5,2,2,0.191599187935035,0.524977293369664,-0.525993109649999
"sp|O43674|NDUB5_HUMAN",-21.6013524702,-22.2719444828,NA,NA,NA,-22.3056428291,3,4,2,2,2,2,NA,NA,NA
"sp|O43676|NDUB3_HUMAN",-20.7966506084,-21.5394012086,NA,-20.8011806005,NA,-21.6651515734,2,2,2,2,NA,1,0.865814820185615,0.949889694295619,0.065140178450001
"sp|O43678|NDUA2_HUMAN",-20.281504036,-20.0427274986,-20.0029380709,-19.8126807142,-19.3817784439,-21.112673461,3,3,3,3,5,2,0.9693436774942,0.975752264095822,-0.00667899546666817
"sp|O43681|GET3_HUMAN",-20.6046670389,-20.8079819815,-21.2125925392,-20.698307071,-20.1694451919,-20.9277840623,9,9,7,8,9,7,0.429791618329466,0.760064412238325,-0.27656841146667
"sp|O43684|BUB3_HUMAN",-19.2425629397,-19.6803510187,-19.267016131,-19.1250520671,-18.7837210879,-19.4488247557,20,22,21,19,25,20,0.410319460556845,0.75177304964539,-0.277444059566665
"sp|O43707|ACTN4_HUMAN",-19.052258625,-19.2169060722,-19.2424591448,-19.0515478848,-19.2244171405,-18.8731977811,110,98,93,107,91,102,0.666203451276102,0.876509544215037,-0.120820345200002
"sp|O43709|BUD23_HUMAN",-23.0802667259,NA,NA,-22.0978934518,NA,NA,3,1,2,2,2,NA,NA,NA,NA
"sp|O43715|TRIA1_HUMAN",-21.3339290661,NA,NA,-21.3155008821,NA,-20.8715014286,2,NA,1,2,NA,2,NA,NA,NA
"sp|O43716|GATC_HUMAN",NA,NA,-21.0871690469,NA,-21.5962855908,NA,NA,3,2,NA,3,2,NA,NA,NA
"sp|O43719|HTSF1_HUMAN",-22.4559840299,-23.0980898845,-21.9733761114,-22.406430094,-22.8027339425,-22.9420511826,7,3,6,9,5,4,0.568740139211137,0.842756183745583,0.207921731100001
"sp|O43747|AP1G1_HUMAN",-24.8501884356,-23.5638448626,-23.4104056335,-23.1017509414,-22.6887015063,-23.6729682347,9,8,8,10,8,9,0.107872969837587,0.405194805194805,-0.7870060831
"sp|O43765|SGTA_HUMAN",-19.8560077005,-20.1447913497,-19.7920417866,-19.9060666633,-19.7438278716,-19.607393036,11,12,13,13,11,14,0.543228248259861,0.835084513476473,-0.1785177553
"sp|O43768|ENSA_HUMAN",-19.9405310789,-20.3619642612,-19.2188678897,-19.4349489408,-19.6517689562,-19.1515942595,6,7,7,7,5,7,0.275180104408353,0.632225433526012,-0.4276836911
"sp|O43776|SYNC_HUMAN",-19.2901457606,-19.5471688635,-19.1602219761,-19.3777200835,-19.4564125112,-18.6975038863,28,22,26,36,28,30,0.636160527842227,0.870640713706407,-0.155300039733334
"sp|O43808|PM34_HUMAN",-23.2795338247,-23.6616077677,-22.8926845832,-22.0857377508,-22.2774094097,-23.0709767646,4,3,2,5,4,2,0.069324535962877,0.323679727427598,-0.799900750166668
"sp|O43809|CPSF5_HUMAN",-19.8380863088,-20.0135056783,-20.4135637136,-19.929818403,-20.1785782697,-20.1419974957,8,7,5,11,6,6,0.969228248259861,0.975752264095822,-0.00492051076666655
"sp|O43813|LANC1_HUMAN",-22.8408015738,NA,-22.7425577911,-21.7920447753,-23.4705286753,-22.9324542757,4,1,3,3,4,5,0.880019721577726,0.950551181102362,-0.0600037736833379
"sp|O43815|STRN_HUMAN",-22.5897930636,-22.1126809105,-22.9899934894,-22.6260213528,-22.2245139723,-22.4895060513,6,8,3,4,6,7,0.719326276102088,0.899815837937385,-0.117475362366665
"sp|O43818|U3IP2_HUMAN",-21.1632384981,-21.6484302766,-21.9230947013,-21.2509063739,-22.3015319883,-21.006569801,9,7,7,9,7,9,0.868203451276102,0.949889694295619,-0.0585851042666654
"sp|O43823|AKAP8_HUMAN",-21.9864794627,-22.4050495254,-22.5342457914,-22.5687619549,-22.3274002658,-22.3655511714,6,6,5,6,5,5,0.706133990719258,0.898393724318267,0.111979537533333
"sp|O43837|IDH3B_HUMAN",-20.051754486,-19.9156384116,-20.3006523064,-20.1418403015,-20.7107343886,-20.5221563314,14,11,12,11,8,12,0.271411687935035,0.62992700729927,0.368895272500001
"sp|O43847|NRDC_HUMAN",-22.3191890451,-21.7823256854,-21.9737013337,-21.800329896,-21.5475778905,-21.1670140609,23,23,20,25,23,27,0.158090922273782,0.467005076142132,-0.520098072266666
"sp|O43852|CALU_HUMAN",-19.0829778919,-19.0568329066,-18.8452939439,-18.8066522681,-18.6728508599,-18.708095512,24,25,23,26,28,23,0.358043068445476,0.705525197328476,-0.265835367466668
"sp|O43913|ORC5_HUMAN",-24.2413757753,NA,-23.9241707578,NA,NA,-22.74664914,4,3,2,3,NA,4,NA,NA,NA
"sp|O43920|NDUS5_HUMAN",NA,-19.8682251302,NA,-21.6439232999,-21.5839367572,-21.3853563668,3,3,1,3,2,2,NA,NA,NA
"sp|O43929|ORC4_HUMAN",-23.8574331387,-22.365166858,NA,NA,NA,NA,4,5,NA,NA,3,NA,NA,NA,NA
"sp|O60200|MDM35_YEAST",-21.7725447156,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
